occupation,code
Computer and information systems managers,0110
Architectural and engineering managers,0300
Natural sciences managers,0360
Computer and information research scientists,1005
Computer systems analysts,1006
Information security analysts,1007
Computer programmers,1010
"Software developers, applications and systems software",1020
Web developers,1030
Computer support specialists,1050
Database administrators,1060
Network and computer systems administrators,1105
Computer network architects ,1106
"Computer occupations, all other",1107
Actuaries,1200
Mathematicians,1210
Operations research analysts,1220
Statisticians,1230
Miscellaneous mathematical science occupations,1240
"Surveyors, cartographers, and photogrammetrists",1310
Aerospace engineers,1320
Agricultural engineers,1330
Biomedical engineers,1340
Chemical engineers,1350
Civil engineers,1360
Computer hardware engineers,1400
Electrical and electronics engineers,1410
Environmental engineers,1420
"Industrial engineers, including health and safety",1430
Marine engineers and naval architects,1440
Materials engineers,1450
Mechanical engineers,1460
"Mining and geological engineers, including mining safety engineers",1500
Nuclear engineers,1510
Petroleum engineers,1520
"Engineers, all other",1530
Drafters,1540
"Engineering technicians, except drafters",1550
Surveying and mapping technicians,1560
Agricultural and food scientists,1600
Biological scientists,1610
Conservation scientists and foresters,1640
Medical scientists,1650
"Life scientists, all other",1660
Astronomers and physicists,1700
Atmospheric and space scientists,1710
Chemists and materials scientists,1720
Environmental scientists and geoscientists,1740
"Physical scientists, all other",1760
Economists,1800
Survey researchers,1815
Psychologists,1820
Sociologists,1830
Urban and regional planners,1840
Miscellaneous social scientists and related workers,1860
Agricultural and food science technicians,1900
Biological technicians,1910
Chemical technicians,1920
Geological and petroleum technicians,1930
Nuclear technicians,1940
Social science research assistants,1950
"Miscellaneous life, physical, and social science technicians",1965
Sales engineers,4930
